"","seed","type","age_death","id","seed"
"223",496,"Joint Man/Woman",93,231,496
"224",459,"Joint Man/Woman",93,684,459
"225",422,"Joint Man/Woman",86,155,422
"226",653,"Joint Man/Woman",80,548,653
"227",755,"Joint Man/Woman",97,179,755
"228",599,"Joint Man/Woman",89,877,599
"229",826,"Joint Man/Woman",84,395,826
"230",680,"Joint Man/Woman",86,709,680
"231",349,"Joint Man/Woman",81,885,349
"232",1081,"Joint Man/Woman",82,696,1081
"233",548,"Joint Man/Woman",95,547,548
"234",817,"Joint Man/Woman",90,408,817
"235",492,"Joint Man/Woman",90,375,492
"236",390,"Joint Man/Woman",94,555,390
"237",385,"Joint Man/Woman",85,360,385
"238",1025,"Joint Man/Woman",92,57,1025
"239",452,"Joint Man/Woman",83,267,452
"240",545,"Joint Man/Woman",89,468,545
"241",415,"Joint Man/Woman",81,590,415
"242",713,"Joint Man/Woman",95,404,713
"243",340,"Joint Man/Woman",89,449,340
"244",120,"Joint Man/Woman",69,894,120
"245",387,"Joint Man/Woman",84,663,387
"246",491,"Joint Man/Woman",84,231,491
"247",581,"Joint Man/Woman",84,272,581
"248",513,"Joint Man/Woman",85,490,513
"249",1105,"Joint Man/Woman",93,244,1105
"250",603,"Joint Man/Woman",90,981,603
"251",230,"Joint Man/Woman",89,512,230
"252",242,"Joint Man/Woman",86,337,242
"253",591,"Joint Man/Woman",90,508,591
"254",329,"Joint Man/Woman",81,738,329
"255",187,"Joint Man/Woman",85,947,187
"256",637,"Joint Man/Woman",94,401,637
"257",669,"Joint Man/Woman",89,410,669
"258",914,"Joint Man/Woman",84,261,914
"259",1000,"Joint Man/Woman",88,110,1000
"260",295,"Joint Man/Woman",99,700,295
"261",236,"Joint Man/Woman",94,493,236
"262",930,"Joint Man/Woman",95,717,930
"263",1018,"Joint Man/Woman",98,768,1018
"264",929,"Joint Man/Woman",93,746,929
"265",1106,"Joint Man/Woman",96,429,1106
"266",647,"Joint Man/Woman",94,109,647
"267",883,"Joint Man/Woman",79,717,883
"268",921,"Joint Man/Woman",91,273,921
"269",390,"Joint Man/Woman",88,443,390
"270",782,"Joint Man/Woman",92,72,782
"271",1105,"Joint Man/Woman",99,425,1105
"272",971,"Joint Man/Woman",78,928,971
"273",721,"Joint Man/Woman",91,690,721
"274",596,"Joint Man/Woman",83,199,596
"275",752,"Joint Man/Woman",100,701,752
"276",1061,"Joint Man/Woman",97,939,1061
"277",814,"Joint Man/Woman",81,283,814
"278",811,"Joint Man/Woman",82,886,811
"279",1075,"Joint Man/Woman",99,578,1075
"280",352,"Joint Man/Woman",90,579,352
"281",395,"Joint Man/Woman",74,605,395
"282",1011,"Joint Man/Woman",92,720,1011
"283",328,"Joint Man/Woman",99,911,328
"284",802,"Joint Man/Woman",97,394,802
"285",232,"Joint Man/Woman",97,607,232
"286",961,"Joint Man/Woman",81,402,961
"287",556,"Joint Man/Woman",93,164,556
"288",775,"Joint Man/Woman",99,733,775
"289",253,"Joint Man/Woman",85,357,253
"290",430,"Joint Man/Woman",89,27,430
"291",932,"Joint Man/Woman",89,599,932
"292",742,"Joint Man/Woman",95,702,742
"293",1087,"Joint Man/Woman",91,514,1087
"294",369,"Joint Man/Woman",95,951,369
"295",865,"Joint Man/Woman",79,491,865
"296",349,"Joint Man/Woman",97,142,349
"297",173,"Joint Man/Woman",101,236,173
"298",802,"Joint Man/Woman",96,235,802
"299",849,"Joint Man/Woman",91,606,849
"300",192,"Joint Man/Woman",88,262,192
